alpha 0: 


>>> DIA 1
+---------------+------------+----------+---------------------+--------------+
| hora_inicio   | hora_fim   | pessoa   | tarefa              |   ocorrencia |
| 22:30         | 23:00      | pai      | ninar               |            7 |
| 23:30         | 00:00      | mae      | trocar_fralda       |            7 |
+---------------+------------+----------+---------------------+--------------+

ALPHA 1: 

>>> DIA 1
+---------------+------------+----------+---------------------+--------------+
| hora_inicio   | hora_fim   | pessoa   | tarefa              |   ocorrencia |
|---------------+------------+----------+---------------------+--------------|
| 00:00         | 01:00      | mae      | amamentar           |            0 |
| 01:00         | 01:30      | pai      | arrotar             |            0 |
| 01:30         | 02:00      | pai      | ninar               |            0 |
| 02:00         | 02:30      | pai      | aspirar_casa        |            0 |
| 02:30         | 03:00      | mae      | trocar_fralda       |            0 |
| 03:00         | 04:00      | mae      | amamentar           |            1 |
| 04:00         | 04:30      | pai      | arrotar             |            1 |
| 04:30         | 05:00      | mae      | ninar               |            1 |
| 05:00         | 05:30      | pai      | tirar_lixo          |            0 |
| 05:30         | 06:00      | mae      | trocar_fralda       |            1 |
| 06:00         | 07:00      | mae      | amamentar           |            2 |
| 06:30         | 07:00      | pai      | preparar_cafe_manha |            0 |
| 07:00         | 07:30      | pai      | lavar_louca_cafe    |            0 |
| 07:00         | 07:30      | avo      | arrotar             |            2 |
| 07:30         | 08:00      | avo      | ninar               |            2 |
| 08:00         | 08:30      | avo      | banho_de_sol        |            0 |
| 08:30         | 09:00      | mae      | trocar_fralda       |            2 |
| 09:00         | 10:00      | mae      | amamentar           |            3 |
| 10:00         | 10:30      | baba     | arrotar             |            3 |
| 10:30         | 11:30      | avo      | preparar_almoco     |            0 |
| 10:30         | 11:00      | baba     | ninar               |            3 |
| 11:30         | 12:00      | baba     | trocar_fralda       |            3 |
| 12:00         | 13:00      | mae      | amamentar           |            4 |
| 13:00         | 13:30      | mae      | passar_roupa        |            0 |
| 13:00         | 13:30      | baba     | arrotar             |            4 |
| 13:30         | 14:00      | baba     | ninar               |            4 |
| 14:00         | 14:30      | avo      | cortar_unha         |            0 |
| 14:30         | 15:00      | baba     | trocar_fralda       |            4 |
| 15:00         | 16:00      | mae      | amamentar           |            5 |
| 15:00         | 15:30      | tia      | lavar_louca_almoco  |            0 |
| 16:00         | 16:30      | tia      | arrotar             |            5 |
| 16:30         | 17:00      | tia      | ninar               |            5 |
| 17:00         | 17:30      | tio      | banho               |            0 |
| 17:30         | 18:00      | mae      | trocar_fralda       |            5 |
| 18:00         | 19:00      | mae      | amamentar           |            6 |
| 18:00         | 18:30      | pai      | lavar_roupa         |            0 |
| 19:00         | 19:30      | tio      | arrotar             |            6 |
| 19:30         | 20:00      | mae      | preparar_jantar     |            0 |
| 19:30         | 20:00      | pai      | estender_roupa      |            0 |
| 19:30         | 20:00      | tio      | ninar               |            6 |
| 20:30         | 21:00      | mae      | trocar_fralda       |            6 |
| 18:00         | 19:00      | mae      | amamentar           |            6 |
| 18:00         | 18:30      | pai      | lavar_roupa         |            0 |
| 19:00         | 19:30      | tio      | arrotar             |            6 |
| 19:30         | 20:00      | mae      | preparar_jantar     |            0 |
| 19:30         | 20:00      | pai      | estender_roupa      |            0 |
| 19:30         | 20:00      | tio      | ninar               |            6 |
| 18:00         | 19:00      | mae      | amamentar           |            6 |
