pessoa,tarefa,ocorrencia,inicio_slot,fim_slot,dia_inicio,hora_inicio,dia_fim,hora_fim
mae,trocar_fralda,0,0,2,1,00:00,1,00:30
pai,lavar_banheiro,0,0,2,1,00:00,1,00:30
pai,ninar,0,4,6,1,01:00,1,01:30
mae,amamentar,0,6,10,1,01:30,1,02:30
pai,arrotar,0,10,12,1,02:30,1,03:00
mae,trocar_fralda,1,12,14,1,03:00,1,03:30
pai,ninar,1,16,18,1,04:00,1,04:30
mae,amamentar,1,18,22,1,04:30,1,05:30
pai,arrotar,1,22,24,1,05:30,1,06:00
mae,trocar_fralda,2,24,26,1,06:00,1,06:30
mae,lavar_roupa,0,26,27,1,06:30,1,06:45
pai,preparar_cafe_manha,0,28,29,1,07:00,1,07:15
avo,ninar,2,28,30,1,07:00,1,07:30
mae,amamentar,2,30,34,1,07:30,1,08:30
pai,estender_roupa,0,30,31,1,07:30,1,07:45
avo,arrotar,2,34,36,1,08:30,1,09:00
avo,trocar_fralda,3,36,38,1,09:00,1,09:30
avo,cortar_unha,0,39,40,1,09:45,1,10:00
babysitter,ninar,3,40,42,1,10:00,1,10:30
mae,amamentar,3,42,46,1,10:30,1,11:30
babysitter,arrotar,3,46,48,1,11:30,1,12:00
babysitter,trocar_fralda,4,48,50,1,12:00,1,12:30
avo,preparar_almoco,0,49,51,1,12:15,1,12:45
babysitter,ninar,4,52,54,1,13:00,1,13:30
babysitter,amamentar,4,54,58,1,13:30,1,14:30
babysitter,arrotar,4,58,60,1,14:30,1,15:00
avo,trocar_fralda,5,60,62,1,15:00,1,15:30
tia,lavar_louca,2,60,61,1,15:00,1,15:15
tia,lavar_louca,1,61,62,1,15:15,1,15:30
tio,banho_de_sol,0,62,63,1,15:30,1,15:45
tia,passar_roupa,0,62,64,1,15:30,1,16:00
tio,ninar,5,64,66,1,16:00,1,16:30
tia,aspirar_casa,0,64,66,1,16:00,1,16:30
tia,amamentar,5,66,70,1,16:30,1,17:30
pai,tirar_lixo,0,68,69,1,17:00,1,17:15
mae,preparar_jantar,0,69,71,1,17:15,1,17:45
tio,arrotar,5,70,72,1,17:30,1,18:00
pai,lavar_louca,0,71,72,1,17:45,1,18:00
mae,trocar_fralda,6,72,74,1,18:00,1,18:30
tio,banho,0,74,76,1,18:30,1,19:00
tio,ninar,6,76,78,1,19:00,1,19:30
mae,amamentar,6,78,82,1,19:30,1,20:30
tio,arrotar,6,82,84,1,20:30,1,21:00
mae,trocar_fralda,7,84,86,1,21:00,1,21:30
pai,ninar,7,88,90,1,22:00,1,22:30
mae,amamentar,7,90,94,1,22:30,1,23:30
pai,arrotar,7,94,96,1,23:30,2,00:00
