pessoa,tarefa,ocorrencia,inicio_slot,fim_slot,dia_inicio,hora_inicio,dia_fim,hora_fim
mae,trocar_fralda,0,2,4,1,00:30,1,01:00
pai,ninar,0,4,6,1,01:00,1,01:30
mae,amamentar,0,6,10,1,01:30,1,02:30
pai,arrotar,0,10,12,1,02:30,1,03:00
pai,tirar_lixo,0,13,14,1,03:15,1,03:30
mae,trocar_fralda,1,14,16,1,03:30,1,04:00
pai,lavar_roupa,0,14,15,1,03:30,1,03:45
pai,ninar,1,16,18,1,04:00,1,04:30
mae,amamentar,1,18,22,1,04:30,1,05:30
pai,estender_roupa,0,18,19,1,04:30,1,04:45
pai,preparar_cafe_manha,0,21,22,1,05:15,1,05:30
pai,arrotar,1,22,24,1,05:30,1,06:00
mae,trocar_fralda,2,26,28,1,06:30,1,07:00
avo,ninar,2,28,30,1,07:00,1,07:30
mae,amamentar,2,30,34,1,07:30,1,08:30
avo,arrotar,2,34,36,1,08:30,1,09:00
avo,cortar_unha,0,37,38,1,09:15,1,09:30
avo,trocar_fralda,3,38,40,1,09:30,1,10:00
babysitter,ninar,3,40,42,1,10:00,1,10:30
mae,amamentar,3,42,46,1,10:30,1,11:30
babysitter,arrotar,3,46,48,1,11:30,1,12:00
babysitter,banho,0,48,50,1,12:00,1,12:30
avo,preparar_almoco,0,49,51,1,12:15,1,12:45
babysitter,trocar_fralda,4,50,52,1,12:30,1,13:00
babysitter,ninar,4,52,54,1,13:00,1,13:30
mae,amamentar,4,54,58,1,13:30,1,14:30
babysitter,arrotar,4,58,60,1,14:30,1,15:00
tia,passar_roupa,0,60,62,1,15:00,1,15:30
tio,banho_de_sol,0,61,62,1,15:15,1,15:30
avo,trocar_fralda,5,62,64,1,15:30,1,16:00
tia,lavar_louca,1,62,63,1,15:30,1,15:45
tia,lavar_louca,2,63,64,1,15:45,1,16:00
tio,ninar,5,64,66,1,16:00,1,16:30
tia,aspirar_casa,0,64,66,1,16:00,1,16:30
tia,amamentar,5,66,70,1,16:30,1,17:30
pai,preparar_jantar,0,68,70,1,17:00,1,17:30
tio,lavar_banheiro,0,68,70,1,17:00,1,17:30
pai,lavar_louca,0,70,71,1,17:30,1,17:45
tio,arrotar,5,70,72,1,17:30,1,18:00
mae,trocar_fralda,6,74,76,1,18:30,1,19:00
tio,ninar,6,76,78,1,19:00,1,19:30
mae,amamentar,6,78,82,1,19:30,1,20:30
tio,arrotar,6,82,84,1,20:30,1,21:00
mae,trocar_fralda,7,86,88,1,21:30,1,22:00
pai,ninar,7,88,90,1,22:00,1,22:30
mae,amamentar,7,90,94,1,22:30,1,23:30
pai,arrotar,7,94,96,1,23:30,2,00:00
